Squad,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Position,Footed,Height,Weight,Wages
West,Kudus Mohammed,GHA,"FW,MF",23.0,23.0,17.0,1590.0,17.7,6.0,3.0,9.0,6.0,0.0,0.0,5.0,0.0,3.3,3.3,2.1,5.4,FW-MF,Left,177.0,74.0,0
West,Michail Antonio,JAM,FW,33.0,16.0,12.0,959.0,10.7,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.2,2.2,0.8,2.9,FW-MF,Right,180.0,82.0,"￡ 85,000"
West,Konstantinos Mavropanos,GRE,DF,26.0,13.0,10.0,991.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,0.9,DF,Right,191.0,78.0,"￡ 50,000"
West,Said Benrahma,ALG,"FW,MF",28.0,13.0,5.0,620.0,6.9,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.8,1.0,1.4,2.5,FW-MF,Right,172.0,67.0,"￡ 55,000"
West,Pablo Fornals,ESP,"MF,FW",28.0,15.0,4.0,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,FW-MF,Right,178.0,67.0,"€ 60,000"
West,Ben Johnson,ENG,"DF,FW",24.0,9.0,4.0,399.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,DF,Right,170.0,68.0,"￡ 20,000"
West,Angelo Ogbonna,ITA,DF,35.0,7.0,3.0,321.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,Left,191.0,86.0,"￡ 70,000"
West,Lukasz Fabianski,POL,GK,38.0,5.0,3.0,316.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Right,190.0,83.0,"￡ 65,000"
West,Kalvin Phillips,ENG,MF,28.0,6.0,3.0,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,0.0,0.1,DF-MF,Right,177.0,68.0,￡ 
West,Aaron Cresswell,ENG,DF,34.0,5.0,3.0,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,DF-MF,Left,170.0,68.0,"￡ 50,000"
West,Danny Ings,ENG,FW,31.0,14.0,2.0,264.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.3,1.4,FW,Right,178.0,73.0,"￡ 125,000"
West,Maxwel Cornet,CIV,"MF,FW",27.0,5.0,1.0,105.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,DF-FW-MF,Left,179.0,68.0,"￡ 65,000"
West,Divin Mubama,ENG,FW,19.0,5.0,0.0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,FW,Left,183.0,69.0,0
West,Thilo Kehrer,GER,"DF,MF",27.0,4.0,0.0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,DF,Right,186.0,72.0,"€ 92,885"
West,Joseph Anang,ENG,GK,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,unknown,182.1,73.7,0
West,Kaelan Casey,ENG,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
West,Conor Coventry,IRL,MF,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MF,Right,177.0,68.0,"￡ 5,000"
West,George Earthy,ENG,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
West,Levi Laing,ENG,DF,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
West,Callum Marshall,NIR,DF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
West,Lewis Orford,ENG,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
West,Oliver Scarles,ENG,DF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
